Donovan: 51.666666666666664; 
Shorter: 59.666666666666664; 
Lewin: 67.0; 
Finch: 67.66666666666667; 
Chesterton: 74.66666666666667; 
Jenkin: 49.333333333333336; 
Nicholson: 63.0; 
Livingston: 40.333333333333336; 
Lamberts: 84.66666666666667; 
Kendal: 51.0; 
Wayne: 49.666666666666664; 
MacAdam: 65.66666666666667; 
Parson: 47.666666666666664; 
Thorndike: 84.33333333333333; 
Little: 70.33333333333333; 
Hailey: 70.0; 
Nelson: 50.666666666666664; 
Taft: 80.66666666666667; 
Hancock: 78.33333333333333; 
Cramer: 56.333333333333336; 
Watson: 63.666666666666664; 
Bradshaw: 45.666666666666664; 
Warren: 59.0; 
Edwards: 41.666666666666664; 
Daniels: 69.0; 
Nevill: 69.33333333333333; 
Bootman: 68.0; 
Gilbert: 47.0; 
Owen: 50.666666666666664; 
Laird: 74.0; 
Gilmore: 55.666666666666664; 
Raleigh: 75.33333333333333; 
Longman: 71.33333333333333; 
Gardner: 55.666666666666664; 
Shackley: 70.0; 
Michaelson: 68.33333333333333; 
Oswald: 82.66666666666667; 
Alsopp: 60.333333333333336; 
Reynolds: 80.0; 
Neal: 56.333333333333336; 
Roberts: 85.0; 
Jeff: 36.333333333333336; 
Jacobson: 71.66666666666667; 
Goldman: 46.333333333333336; 
Andrews: 73.33333333333333; 
Walter: 62.666666666666664; 
Ward: 86.66666666666667; 
Stevenson: 50.666666666666664; 
Archibald: 73.66666666666667; 
Eddington: 61.333333333333336; 
Fitzgerald: 80.0; 
Gilson: 75.33333333333333; 
Dodson: 68.0; 
WifKinson: 50.0; 
Lawman: 74.33333333333333; 
Dowman: 56.333333333333336; 
Brown: 68.33333333333333; 
Miln: 76.33333333333333; 
Becker: 63.666666666666664; 
Stanley: 74.66666666666667; 
Hamphrey: 53.666666666666664; 
Ferguson: 68.66666666666667; 
Addington: 57.333333333333336; 
Ford: 60.0; 
Carroll: 55.333333333333336; 
Wallace: 60.0; 
Fraser: 58.666666666666664; 
Charlson: 57.0; 
Derrick: 61.666666666666664; 
Ogden: 42.0; 
Aldridge: 78.33333333333333; 
Vaughan: 72.33333333333333; 
Arnold: 79.66666666666667; 
Macduff: 68.33333333333333; 
Blomfield: 59.666666666666664; 
Fisher: 68.0; 
Salomon: 61.666666666666664; 
Goodman: 52.0; 
Sykes: 63.333333333333336; 
Pass: 62.666666666666664; 
Douglas: 62.333333333333336; 
Bargeman: 90.0; 
Peterson: 69.0; 
Gill: 67.33333333333333; 
Pearcy: 60.666666666666664; 
Oldman: 57.333333333333336; 
Adrian: 90.66666666666667; 
Russel: 62.666666666666664; 
Kelly: 68.0; 
Oliver: 56.666666666666664; 
Wood: 63.666666666666664; 
Jerome: 55.666666666666664; 
Forman: 74.0; 
Hoggarth: 49.333333333333336; 
Haig: 55.0; 
Bosworth: 79.0; 
Attwood: 78.33333333333333; 
Paterson: 51.0; 
Baldwin: 67.66666666666667; 
Oldridge: 74.33333333333333; 
Thornton: 48.333333333333336; 
Morrison: 70.66666666666667; 
Barnes: 87.66666666666667; 
Farrell: 81.66666666666667; 
Kirk: 74.66666666666667; 
James: 44.666666666666664; 
Creighton: 56.0; 
Croftoon: 72.33333333333333; 
Faber: 63.333333333333336; 
Subject average: 63.54128440366973, 63.28440366972477, 66.75229357798165. 
